p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.3261221301715e-30	5.58991631573032	0.01	0	1.18798247482491e-25	20	Fbxo43
1.20060921610465e-223	5.14639390282642	0.068	0.001	2.25462404692292e-219	20	9230105E05Rik
1.67765028383947e-295	5.06861239565714	0.101	0.002	3.15045946802215e-291	20	Ugt1a2
2.08551805684432e-34	4.99544387371119	0.01	0	3.91639435894796e-30	20	G630018N14Rik
0	4.87089380282283	0.567	0.023	0	20	Slc22a29
0	8.05864592281846	0.291	0.004	0	21	Hist1h2ap
0	7.83319564847037	0.117	0	0	21	Pimreg
0	7.53479957274621	0.042	0	0	21	Hist1h2af
0	7.44343434539877	0.061	0	0	21	Hist1h3c
3.15350812831777e-84	7.3286236666715	0.011	0	5.92197291416795e-80	21	Hist1h3b
1.14930317459301e-172	7.27041184271912	0.028	0	2.15827643156822e-168	21	Kif18b
0	6.88848398588414	0.453	0.006	0	21	Pclaf
0	6.87254242801725	0.193	0.001	0	21	Nuf2
0	6.86757065370203	0.145	0.001	0	21	Cep55
0	6.84966652077622	0.52	0.005	0	21	Ccna2
1.0939659918847e-162	12.6813867813693	0.01	0	2.05435873616028e-158	22	Wnt16
0	11.9945893487287	0.026	0	0	22	Galnt16
3.14355974180798e-216	11.6826009940422	0.013	0	5.9032908391412e-212	22	Aldh3a1
0	10.930369755351	0.061	0	0	22	Upk3a
0	10.8904612381178	0.083	0	0	22	Lypd2
3.14355974180798e-216	10.8423421084806	0.013	0	5.9032908391412e-212	22	Gm12496
1.0939659918847e-162	10.8009072225632	0.01	0	2.05435873616028e-158	22	Scube2
0	10.4047745754018	0.051	0	0	22	Sfrp5
0	10.3784091801702	0.045	0	0	22	Krt5
1.11056177147613e-81	10.3117648897648	0.01	0	2.08552395065503e-77	22	Uncx
0	16.7653320170888	0.23	0	0	23	Wif1
0	16.0513350893315	0.119	0	0	23	Lmx1b
0	15.9434923927247	0.119	0	0	23	Nxph3
0	14.013933300608	0.037	0	0	23	Dync1i1
0	13.6757841365471	0.319	0	0	23	Tcf21
0	13.4529023694718	0.022	0	0	23	Prm1
